Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite UK,2023-04-23,SMOG Women @ Spring Invite UK,SY-See @ Spring Invite UK,13,10,328.14240231865136,1.0,0,46.75,3,1,0,1.73,3,1,0,1.6700476822475174
Spring Invite UK,2023-04-23,SY-Sea @ Spring Invite UK,Brixton @ Spring Invite UK,14,9,473.8676990361691,1.0,0,217.42999999999995,5,1,0,3.6500000000000004,5,1,0,6.567534773016682
Spring Invite UK,2023-04-23,SY-Sea @ Spring Invite UK,Oxford Ultimate @ Spring Invite UK,15,0,600.0,1.0,0,461.54999999999995,15,1,0,8.38,15,1,0,10.260059940863119
Spring Invite UK,2023-04-23,SY-See @ Spring Invite UK,Horizon,14,7,582.8868714046324,1.0,0,328.53999999999996,7,1,0,2.8299999999999996,7,1,0,4.386155887833482
Spring Invite UK,2023-04-23,SY-See @ Spring Invite UK,SCRAM,12,7,520.5112660164395,1.0,0,160.04,5,1,0,1.3599999999999999,5,1,0,1.5068997650978204
Spring Invite UK,2023-04-23,Spice,Brighton @ Spring Invite UK,15,1,600.0,1.0,1,805.8,14,1,0,11.68,14,1,0,12.352760361957383
Spring Invite UK,2023-04-23,Spice,SCRAM,15,6,600.0,1.0,0,490.1,9,1,0,6.26,9,1,0,6.378950577073102
Spring Invite UK,2023-04-23,Spice,SMOG Women @ Spring Invite UK,13,10,328.14240231865136,1.0,0,283.31,3,1,0,3.17,3,1,0,3.553680912018976
Toms Tourney,2023-05-05,Austria Women @ Toms Tourney,DESKEAGH @ Toms Tourney,13,12,125.0,1.0,0,-128.91000000000003,1,1,0,-1.2999999999999998,1,1,0,-1.4541685910387923
Toms Tourney,2023-05-05,Austria Women @ Toms Tourney,GB U24 Women @ Toms Tourney,11,8,365.60925011032475,1.0,0,126.18,3,1,0,1.2600000000000002,3,1,0,1.7817977963127092
Toms Tourney,2023-05-05,Austria Women @ Toms Tourney,Spain Women @ Toms Tourney,12,8,441.15462425988915,1.0,0,255.47999999999996,4,1,0,2.1200000000000006,4,1,0,2.654506653501347
Toms Tourney,2023-05-05,Belgian Women @ Toms Tourney,Austria Women @ Toms Tourney,12,8,441.15462425988915,1.0,0,402.12,4,1,0,5.74,4,1,0,5.865254615206194
