team_id,team_name,division_id,division_name,country_id,country_ioc,country_name,iso2c
NULL,Disconnection,NULL,Mixed,1073,GER,Germany,DE
NULL,Tartu Turbulence,NULL,Mixed,1061,EST,Estonia,EE
NULL,Manchots,NULL,Mixed,1065,FRA,France,FR
NULL,Jetset LUV,NULL,Women,1018,BEL,Belgium,BE
NULL,Iceni,NULL,Women,1069,GBR,Great Britain,GB
NULL,East Block,NULL,Women,1051,CZE,Czech Republic,CZ
NULL,box vienna ultimate,NULL,Women,1012,AUT,Austria,AT
NULL,BFD Shout,NULL,Women,1093,ITA,Italy,IT
NULL,Mooncup,NULL,Women,1018,BEL,Belgium,BE
NULL,YAKA,NULL,Women,1065,FRA,France,FR
NULL,Jinx Midnight,NULL,Women,1073,GER,Germany,DE
NULL,Jetset Open,NULL,Open,1018,BEL,Belgium,BE
NULL,Wall City,NULL,Open,1073,GER,Germany,DE
NULL,Gentle,NULL,Open,1018,BEL,Belgium,BE
NULL,Chevron Action Flash,NULL,Open,1069,GBR,Great Britain,GB
NULL,Alba,NULL,Open,1069,GBR,Great Britain,GB
