Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Toms Tourney,2023-05-05,GB U24 open @ Toms Tourney,Frizzly Bears,15,12,300.4922431832018,1.0,0,307.6,3,1,0,3.64,3,1,0,3.9683263780432547
Toms Tourney,2023-05-05,GB masters @ Toms Tourney,Ka-Pow!,14,12,220.95664314305532,1.0,0,243.43,2,1,0,3.95,2,1,0,4.863895267340805
Toms Tourney,2023-05-05,GB open @ Toms Tourney,BEL U24 @ Toms Tourney,15,6,600.0,1.0,0,227.23999999999995,9,1,0,4.069999999999999,9,1,0,4.804750791712721
Toms Tourney,2023-05-05,GB open @ Toms Tourney,Cotarica Grandes,15,8,564.8086448756737,1.0,0,501.4599999999999,7,1,0,7.549999999999999,7,1,0,7.939799926839605
Toms Tourney,2023-05-05,GB open @ Toms Tourney,Denmark open @ Toms Tourney,15,5,600.0,1.0,0,582.8599999999999,10,1,0,8.59,10,1,0,8.682436072174553
Toms Tourney,2023-05-05,GB open @ Toms Tourney,Ireland open @ Toms Tourney,15,11,381.1647521399218,1.0,0,610.5799999999999,4,1,0,8.44,4,1,0,8.860592453194474
Toms Tourney,2023-05-05,GB open @ Toms Tourney,JetSet Ultimate Open,15,7,600.0,1.0,0,461.90999999999997,8,1,0,6.959999999999999,8,1,0,7.4610512250279655
Toms Tourney,2023-05-05,GB open @ Toms Tourney,Ka-Pow!,15,1,600.0,1.0,0,1114.4099999999999,14,1,0,15.61,14,1,0,12.615965840051206
Toms Tourney,2023-05-05,GB open @ Toms Tourney,Netherlands open @ Toms Tourney,15,9,515.4814780292847,1.0,0,350.5799999999999,6,1,0,5.6499999999999995,6,1,0,6.287121209602475
Toms Tourney,2023-05-05,Gentle Open,Freespeed,13,11,228.8403622143806,1.0,0,218.43,2,1,0,3.43,2,1,0,3.549433183205437
Toms Tourney,2023-05-05,Gentle Open,Frizstyle,15,13,214.17926913507503,1.0,0,120.82000000000001,2,1,0,1.75,2,1,0,1.7729241570717917
Toms Tourney,2023-05-05,Gentle Open,Frizzly Bears,15,9,515.4814780292847,1.0,0,267.34000000000003,6,1,0,3.91,6,1,0,4.124100085896192
Toms Tourney,2023-05-05,Gentle Open,GB U24 open @ Toms Tourney,12,11,125.0,1.0,0,-40.25999999999999,1,1,0,0.27,1,1,0,0.1679929757124512
Toms Tourney,2023-05-05,Ireland open @ Toms Tourney,Freespeed,14,9,473.8676990361691,1.0,0,138.56,5,1,0,2.4,5,1,0,2.154742581348824
Toms Tourney,2023-05-05,Ireland open @ Toms Tourney,GB masters @ Toms Tourney,13,10,328.14240231865136,1.0,0,260.4,3,1,0,3.2199999999999998,3,1,0,3.099472016552994
Toms Tourney,2023-05-05,Ireland open @ Toms Tourney,JetSet Ultimate Open,12,10,238.1225775586291,1.0,0,-148.67,2,1,0,-1.4800000000000004,2,1,0,-1.981845659133958
Toms Tourney,2023-05-05,Ireland open @ Toms Tourney,Ka-Pow!,15,6,600.0,1.0,0,503.83000000000004,9,1,0,7.17,9,1,0,7.463308769943993
Toms Tourney,2023-05-05,Iznogood,Cotarica Grandes,13,11,228.8403622143806,1.0,0,19.939999999999998,2,1,0,0.050000000000000266,2,1,0,0.13799610669181206
Toms Tourney,2023-05-05,Iznogood,GB masters @ Toms Tourney,12,9,345.3654772346762,1.0,0,389.46000000000004,3,1,0,4.16,3,1,0,4.484712274154681
Toms Tourney,2023-05-05,Iznogood,Gentle Open,15,12,300.4922431832018,1.0,0,49.19,3,1,0,-0.08999999999999986,3,1,0,0.0329999467601052
Toms Tourney,2023-05-05,Iznogood,Netherlands open @ Toms Tourney,14,12,220.95664314305532,1.0,0,-130.94000000000003,2,1,0,-1.8499999999999996,2,1,0,-1.9884774330252455
