"team_id","team_name","division_id","division_name","country_id","country_ioc","country_name"
NULL,"Wall City",NULL,"Open","1073","GER","Germany"
NULL,"Alba",NULL,"Open","1069","GBR","Great Britain"
NULL,"KFUM Örebro Frisbee",NULL,"Open","1177","SWE","Sweden"
NULL,"KFK",NULL,"Open","1052","DEN","Denmark"
NULL,"Terrible Monkeys",NULL,"Open","1051","CZE","Czech Republic"
NULL,"FWD>>",NULL,"Open","1012","AUT","Austria"
NULL,"Uprising Ultimate",NULL,"Open","1151","POL","Poland"
NULL,"Panthers Wrocław",NULL,"Open","1151","POL","Poland"
NULL,"Outsiterz",NULL,"Open","1176","SVK","Slovakia"
NULL,"3SB",NULL,"Open","1051","CZE","Czech Republic"
NULL,"Atrofované Ruce",NULL,"Open","1051","CZE","Czech Republic"
NULL,"thebigEZ",NULL,"Open","1012","AUT","Austria"
NULL,"Iznogood",NULL,"Open","1065","FRA","France"
NULL,"Monkey",NULL,"Open","1065","FRA","France"
NULL,"Flying Angels Bern",NULL,"Open","1174","SUI","Switzerland"
NULL,"Quijotes",NULL,"Open","1060","ESP","Spain"
NULL,"Freespeed",NULL,"Open","1174","SUI","Switzerland"
NULL,"Heidees",NULL,"Open","1073","GER","Germany"
NULL,"XVI",NULL,"Open","1088","IRL","Ireland"
NULL,"Smash'D",NULL,"Open","1069","GBR","Great Britain"
NULL,"SMOG",NULL,"Open","1069","GBR","Great Britain"
NULL,"Freezzz Beezzz",NULL,"Open","1018","BEL","Belgium"
NULL,"Aarhus",NULL,"Open","1052","DEN","Denmark"
NULL,"Grut",NULL,"Open","1135","NED","Netherlands"
NULL,"UFO",NULL,"Open","1135","NED","Netherlands"
NULL,"ZU PlatZHirsch",NULL,"Open","1174","SUI","Switzerland"
NULL,"Révolution'Air",NULL,"Open","1065","FRA","France"
NULL,"Solebang",NULL,"Open","1174","SUI","Switzerland"
NULL,"Tchac",NULL,"Open","1065","FRA","France"
NULL,"AUT Beefree",NULL,"Open","1093","ITA","Italy"
NULL,"Jetset LUV",NULL,"Women","1018","BEL","Belgium"
NULL,"Queen Kong",NULL,"Women","1065","FRA","France"
NULL,"FlyHigh Louves",NULL,"Women","1174","SUI","Switzerland"
NULL,"Tequila Boom Boom",NULL,"Women","1093","ITA","Italy"
